Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23854308274520129;18-24;male;101990;208848;2.047722139;EUR;11.93827;1.477063872;0.931586608;3116.604766;102;2023-01-01;2023-04-30
23853954814850129;18-24;female;107263;173479;1.617322623;EUR;14.22297778;1.970759432;0.727879768;3084.23851;77;2023-01-01;2023-04-30
23854012916660129;18-24;male;124314;187940;1.511811986;EUR;12.73963026;1.74612464;0.874491856;2992.857639;74;2023-01-01;2023-04-30
23854012916660129;25-34;male;97178;149958;1.543116577;EUR;14.1158927;1.567524728;1.055445008;2645.98174;46;2023-01-01;2023-04-30
23854308274520129;25-34;male;77158;150624;1.952140013;EUR;12.60949453;1.396538608;1.013809224;2374.11563;42;2023-01-01;2023-04-30
23853954814850129;25-34;female;53708;81374;1.515111343;EUR;20.59323274;1.893925728;1.027950096;2094.681854;42;2023-01-01;2023-04-30
23853882046140129;18-24;male;92518;119422;1.290796209;EUR;13.47343882;1.781477416;0.90676456;2011.288;50;2023-01-01;2023-04-30
23853662536380129;25-34;female;37402;68495;1.831344114;EUR;21.63889332;2.387500528;0.788610008;1852.700407;38;2023-01-01;2023-04-30
23854320712330129;35-44;male;37914;65878;1.737592843;EUR;21.97098872;1.463808232;1.527177344;1809.266979;41;2023-01-01;2023-04-30
23853721607400129;18-24;male;52070;84938;1.631222345;EUR;13.32480745;1.981421264;0.72485472;1414.734781;29;2023-01-01;2023-04-30
23853855950630129;25-34;male;59085;70488;1.192997184;EUR;15.95820566;1.53167484;1.029622064;1406.0775;29;2023-01-01;2023-04-30
23853855992050129;25-34;male;53069;64611;1.217498794;EUR;17.37621379;1.658832776;1.300579464;1403.372531;30;2023-01-01;2023-04-30
23854012916660129;35-44;male;46080;69704;1.512673611;EUR;15.82287956;1.30925688;1.331343968;1378.647496;36;2023-01-01;2023-04-30
23854308274520129;25-34;female;34253;57062;1.665919283;EUR;19.23028961;1.937370192;1.018393896;1371.658097;26;2023-01-01;2023-04-30
23853662536380129;35-44;female;19482;35928;1.844201708;EUR;29.35238815;2.182476408;1.207748832;1318.215752;25;2023-01-01;2023-04-30
23854065435350129;25-34;female;34253;43316;1.264597347;EUR;24.11250139;1.805769552;1.186443808;1305.571388;30;2023-01-01;2023-04-30
23853687780470129;35-44;female;17459;38410;2.199963343;EUR;25.67435422;1.763486544;1.897858872;1232.677095;38;2023-01-01;2023-04-30
23854320712330129;25-34;male;27187;47281;1.739083098;EUR;20.69707812;1.605272984;1.284580632;1223.218014;26;2023-01-01;2023-04-30
23853721607400129;25-34;male;41728;63071;1.511483896;EUR;15.38181554;1.90974324;0.86251728;1212.686955;27;2023-01-01;2023-04-30
23854012916660129;25-34;female;32051;48006;1.497778554;EUR;19.72832013;2.058847488;1.109203928;1183.837306;33;2023-01-01;2023-04-30
23854308274520129;18-24;female;38554;69403;1.800174303;EUR;13.60575656;1.830005896;0.782903384;1180.353805;23;2023-01-01;2023-04-30
23853721607400129;25-34;female;27699;44294;1.599093115;EUR;21.27113597;2.099320832;1.106796464;1177.718985;30;2023-01-01;2023-04-30
23853687780470129;45-54;female;12595;27222;2.161331301;EUR;33.3891302;1.59126796;2.602562592;1136.165322;29;2023-01-01;2023-04-30
23853721607400129;35-44;female;19763;35276;1.784933614;EUR;25.46463391;1.68093268;1.649166576;1122.863033;32;2023-01-01;2023-04-30
23853721607400129;18-24;female;29542;48669;1.64742201;EUR;17.34234813;2.153141;0.869222168;1055.039091;24;2023-01-01;2023-04-30
23853954814850129;35-44;female;21504;32939;1.531770833;EUR;25.6001593;1.833149496;1.34842376;1054.060959;25;2023-01-01;2023-04-30
23853958531360129;18-24;male;54989;62894;1.14375291;EUR;13.24965338;1.824252192;0.659399368;1041.648;22;2023-01-01;2023-04-30
23854320712330129;45-54;male;18458;33727;1.82727982;EUR;24.39967015;1.323894072;1.882397592;1028.665694;22;2023-01-01;2023-04-30
23853721607400129;35-44;male;26368;42842;1.624757282;EUR;18.86583376;1.547171712;1.251867344;1010.30313;28;2023-01-01;2023-04-30
23854172437630129;18-24;male;41011;59577;1.452695849;EUR;13.39195123;1.94029572;0.92599804;997.312;25;2023-01-01;2023-04-30
