Ad set ID;Country;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23854012916660129;US;103527;135941;1.313092598;EUR;25.2391759;1.65910724;1.564916496;4288.792205;102;2023-01-01;2023-04-30
23854012916660129;AU;138958;225234;1.620880038;EUR;13.5040695;1.898134168;0.893081672;3801.962733;86;2023-01-01;2023-04-30
23854012916660129;CA;145614;219786;1.509375498;EUR;12.00191118;1.38309944;1.046255984;3297.309061;74;2023-01-01;2023-04-30
23854308274520129;AU;97792;186035;1.902356021;EUR;13.79962892;1.618265712;0.989404152;3209.020907;76;2023-01-01;2023-04-30
23853721607400129;US;56730;76834;1.354396999;EUR;33.01460042;2.088815064;1.631769104;3170.821268;58;2023-01-01;2023-04-30
23854308274520129;CA;94157;174599;1.854345092;EUR;13.31607679;1.378662448;1.024517864;2906.220444;68;2023-01-01;2023-04-30
23853687780470129;US;32512;58740;1.80671752;EUR;38.83234974;1.866011312;2.271705824;2851.26528;44;2023-01-01;2023-04-30
23854308274520129;US;62874;98914;1.573226283;EUR;23.04606292;1.693098248;1.416335744;2849.484357;71;2023-01-01;2023-04-30
23853662536380129;US;38810;61938;1.59595564;EUR;33.56211644;2.299539592;1.384601472;2598.479741;34;2023-01-01;2023-04-30
23853882046140129;US;56115;66922;1.192575274;EUR;29.18758667;1.906010928;1.633433752;2441.6;52;2023-01-01;2023-04-30
23853721607400129;AU;63590;101550;1.59693287;EUR;19.12323364;2.134956824;1.039885928;2427.445908;60;2023-01-01;2023-04-30
23853701734420129;US;46362;75959;1.638407648;EUR;25.28077178;1.5556604;1.835090416;2400.384;43;2023-01-01;2023-04-30
23853662536380129;AU;48026;85131;1.772621269;EUR;22.4717146;2.068602976;0.990847072;2391.305037;56;2023-01-01;2023-04-30
23854101086880129;US;35328;59253;1.677219203;EUR;30.84330192;1.554040816;2.219641944;2284.44;56;2023-01-01;2023-04-30
23853855950630129;US;49434;58963;1.192775764;EUR;30.69066602;1.813973416;1.658525992;2262.024849;46;2023-01-01;2023-04-30
23853109925400125;US;66266;108934;1.643885891;EUR;16.56453677;1.471337144;1.271958168;2255.559843;51;2023-01-01;2023-04-30
23853687585440129;US;26656;46750;1.753811525;EUR;37.95184558;1.588676216;2.280746784;2217.792;39;2023-01-01;2023-04-30
23853855992050129;US;39066;44838;1.147751474;EUR;38.9447258;1.89473528;2.35088408;2182.735047;35;2023-01-01;2023-04-30
23853451509910129;US;34569;50481;1.460299461;EUR;34.50495218;1.525786256;2.250360536;2177.296988;54;2023-01-01;2023-04-30
23853840483240129;US;15024;31361;2.087380192;EUR;55.21287722;1.536124912;3.110124744;2164.4;31;2023-01-01;2023-04-30
23853470597090129;US;41944;51010;1.2161358;EUR;33.8962251;1.356742688;2.30983972;2161.291105;45;2023-01-01;2023-04-30
23854065435350129;US;47412;55045;1.160988779;EUR;31.28307898;1.738661984;1.627765024;2152.463533;41;2023-01-01;2023-04-30
23853954814850129;AU;60825;97233;1.598571635;EUR;17.14800606;2.118075008;0.802362992;2084.185805;54;2023-01-01;2023-04-30
23854320712330129;GB;41114;79842;1.941975405;EUR;20.3612287;1.255927904;1.676920304;2032.091346;44;2023-01-01;2023-04-30
23853721607400129;CA;59136;93207;1.576149892;EUR;16.98538563;1.66298344;1.07047524;1978.950295;55;2023-01-01;2023-04-30
23853954814850129;US;39629;50210;1.267017926;EUR;30.8225085;2.125838576;1.357487688;1934.513101;31;2023-01-01;2023-04-30
23853954814850129;CA;61593;93372;1.51595641;EUR;16.38138195;1.621673448;0.976052776;1911.952995;47;2023-01-01;2023-04-30
23854065435350129;AU;68046;89487;1.31510634;EUR;16.37830559;1.835732352;0.849641064;1832.060885;42;2023-01-01;2023-04-30
23854065435350129;CA;73166;89813;1.227527691;EUR;15.96981795;1.468360016;1.069602552;1792.867582;39;2023-01-01;2023-04-30
23853721607400129;NZ;53760;107909;2.007232143;EUR;12.6595683;1.236494224;1.11679492;1707.598529;50;2023-01-01;2023-04-30
23853687780470129;AU;28390;56249;1.981261271;EUR;23.82051248;1.772321752;1.719218896;1674.844053;45;2023-01-01;2023-04-30
23853958531360129;US;49715;54618;1.098625772;EUR;23.88610432;2.020788104;1.075681456;1630.776;23;2023-01-01;2023-04-30
23853741619790129;US;24973;41544;1.663569964;EUR;31.31908338;1.746938776;1.894858464;1626.4;34;2023-01-01;2023-04-30
23854172437630129;US;27699;36822;1.329366913;EUR;34.41887546;1.85724736;2.037020944;1584.232;27;2023-01-01;2023-04-30
23852531898950129;US;38375;46877;1.221538911;EUR;26.62529866;1.175686512;2.375588776;1560.136;19;2023-01-01;2023-04-30
23854100757070129;US;27968;30989;1.108009153;EUR;39.91186355;1.959475216;2.081784384;1546.025946;29;2023-01-01;2023-04-30
